Country Name,Country Code,Indicator Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,,Annual Change (90-91),Annual Change (91-92),Annual Change (92-93),Annual Change (93-94),Annual Change (94-95),Annual Change (95-96),Annual Change (96-97),Annual Change (97-98),Annual Change (98-99),Annual Change (99-00),Annual Change (00-01),Annual Change (01-02),Annual Change (02-03),Annual Change (03-04),Annual Change (04-05),Annual Change (05-06),Annual Change (06-07),Annual Change (07-08),Annual Change (08-09),Annual Change (09-10),Annual Change (10-11),Annual Change (11-12),Annual Change (12-13),Annual Change (13-14),Annual Change (14-15),Annual Change (15-16),Annual Change (16-17),Annual Change (17-18),Annual Change (18-19),Annual Change (19-20)
Africa Eastern and Southern,AFE,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",64.88827593,64.92201168,64.98810382,65.07132142,65.17073501,65.40594663,65.61059255,65.76686705,65.94416744,66.13260636,66.31903452,66.4895699,66.71305451,66.94403594,67.13786342,67.32986891,67.24176213,67.04374405,66.84472953,66.42022111,65.9846424,65.76293085,65.57092201,65.65449551,65.64386497,65.83116857,65.91704578,66.1259219,66.23008413,66.36214217,64.11189079,64.87819806,,0.051990515,0.10180236,0.128050512,0.152776349,0.360916024,0.312885787,0.238184875,0.26958923,0.285755241,0.28190052,0.257143939,0.336119801,0.346231242,0.289536587,0.285986888,-0.130858388,-0.294486739,-0.29684279,-0.635066409,-0.655792314,-0.336004791,-0.291971232,0.127455124,-0.016191635,0.285332995,0.13045068,0.316877239,0.157521026,0.199392839,-3.390866099
Afghanistan,AFG,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",15.18000031,15.21399975,15.22299957,15.19699955,15.17800045,15.22099972,15.07800007,14.95400047,14.87300014,14.82699966,14.79500008,14.93599987,15.11299992,15.29800034,15.47500038,15.64400005,15.45499992,15.27499962,15.13700008,15.07600021,15.11100006,15.45400047,15.87899971,16.79400063,17.74900055,18.74600029,19.79800034,20.88699913,21.22800064,21.56599998,16.18899918,14.84799957,,0.223975246,0.059154888,-0.170794348,-0.125018756,0.283299949,-0.939489204,-0.822387552,-0.541663271,-0.309288511,-0.215819712,0.953023273,1.185056557,1.224114475,1.157014263,1.09208186,-1.208131738,-1.164673608,-0.903433964,-0.402985202,0.232156055,2.269872349,2.750092041,5.762333473,5.686554056,5.617216236,5.611864022,5.50054943,1.632601737,1.59223353,-24.9327683
Africa Western and Central,AFW,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",60.03827772,60.02554988,59.95808278,59.92610037,59.89499695,59.87541942,59.81471781,59.77120422,59.73868074,59.69930183,59.65958813,59.56471518,59.47708349,59.37931604,59.30475036,59.18861571,59.03604373,58.93835051,58.68404042,58.41886861,58.14291963,58.03768943,56.70766826,55.37049262,54.99980908,54.80539344,54.5488059,54.29550018,54.11860734,53.97791612,52.76462894,52.99073917,,-0.02119954,-0.112397319,-0.053341279,-0.051902962,-0.032686418,-0.101379839,-0.072747309,-0.054413284,-0.065918616,-0.066522886,-0.159023815,-0.147120138,-0.164378347,-0.125575175,-0.195826897,-0.25777251,-0.165480631,-0.431484912,-0.451863577,-0.472362771,-0.180985411,-2.291650778,-2.358015559,-0.669460441,-0.353484209,-0.468179366,-0.464365278,-0.325796508,-0.25996829,-2.247747349
Angola,AGO,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",75.40799713,75.3809967,75.3690033,75.3710022,75.38700104,75.41600037,75.41400146,75.4280014,75.45600128,75.4940033,75.53900146,75.54599762,75.56400299,75.58999634,75.61699677,75.64099884,75.625,75.61399841,75.60700226,75.60299683,75.60500336,74.84700012,74.83399963,74.83300018,74.84300232,74.86399841,74.88200378,74.91200256,74.95500183,75.01100159,73.61799622,73.96800232,,-0.035805788,-0.015910387,0.002652153,0.021226785,0.03846728,-0.0026505,0.018564111,0.037121331,0.050363143,0.059604958,0.009261646,0.023833653,0.034399114,0.035719577,0.03174164,-0.021151017,-0.014547553,-0.00925246,-0.0052977,0.002654036,-1.002583429,-0.017369418,-0.001335557,0.013365943,0.028053516,0.024050774,0.0400614,0.057399704,0.074711166,-1.857068086
Albania,ALB,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",51.36399841,54.72700119,55.60800171,54.63800049,53.82500076,52.57600021,51.65999985,52.61500168,51.65800095,50.44499969,49.7820015,49.0870018,48.75699997,48.18600082,47.625,47.06700134,46.51100159,45.95800018,45.40999985,45.8390007,46.72700119,52.44599915,48.77799988,43.59799957,43.73300171,46.89799881,49.67599869,49.50999832,51.18899918,52.72299957,49.7859993,50.73300171,,6.547392884,1.6098096,-1.744355472,-1.487974886,-2.320484035,-1.742240495,1.848629179,-1.818874279,-2.348138195,-1.314299145,-1.396086284,-0.672279461,-1.17111214,-1.164240266,-1.171650724,-1.181294198,-1.188969029,-1.19239378,0.944727716,1.937216071,12.23917181,-6.993859069,-10.61954225,0.309652134,7.237090932,5.923493429,-0.334166138,3.391235935,2.996738404,-5.570624393
Arab World,ARB,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",19.42784468,19.53499785,19.67515028,19.64769573,20.05117633,20.05429841,20.00849574,19.88839114,19.80950204,20.30254984,20.34661697,20.25419299,19.57809866,19.81897993,20.02793265,20.25745903,20.55543101,21.06358591,20.75595212,20.85426381,20.98622949,20.99657229,21.14949436,21.43816402,21.50111314,21.64098536,21.84675976,21.19735695,20.33558692,20.0742625,19.63197289,19.68605252,,0.551544324,0.717442749,-0.139539206,2.053577214,0.015570553,-0.228393293,-0.600267976,-0.396659047,2.488945973,0.217052151,-0.45424737,-3.338046271,1.230360887,1.054306158,1.146031319,1.470924731,2.472119896,-1.460500529,0.473655379,0.632799499,0.049283783,0.728319175,1.364901014,0.293631137,0.650534776,0.95085503,-2.972536057,-4.065459789,-1.285059677,-2.203267036
United Arab Emirates,ARE,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",29.08300018,29.77899933,30.27199936,30.94400024,31.12100029,31.27899933,31.88299942,32.47999954,33.0719986,33.6590004,34.24399948,34.9109993,35.58599854,36.2159996,36.74399948,37.17599869,37.97900009,38.81200027,39.73899841,40.79499817,41.97600174,43.30099869,44.7179985,46.18999863,47.6590004,49.0719986,50.3730011,51.9469986,48.95100021,48.92300034,45.70299911,46.54199982,,2.393147685,1.655529204,2.219876121,0.572001178,0.507692674,1.931008359,1.87247164,1.822657212,1.774920856,1.738016809,1.947785968,1.933485866,1.770362204,1.457918831,1.175700013,2.159999549,2.193317836,2.388431753,2.65733863,2.8949715,3.156558256,3.272441421,3.291739727,3.180345992,2.96480872,2.651211566,3.124684778,-5.767413832,-0.057199808,-6.581773805
Argentina,ARG,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",45.04100037,46.33100128,47.48600006,48.71699905,49.57600021,48.9659996,49.76200104,50.97299957,51.49399948,50.77500153,50.50899887,49.61299896,47.50799942,48.80099869,50.13600159,49.27999878,49.91600037,49.08000183,48.24300003,48.9640007,47.875,48.13399887,48.23400116,47.82600021,47.59999847,47.67900085,47.75999832,47.84400177,49.31600189,50.16799927,46.64199829,50.00999832,,2.864059202,2.492928595,2.592340882,1.763247278,-1.230435307,1.625620718,2.433580865,1.022109573,-1.396275222,-0.523885075,-1.773941136,-4.242838744,2.721645372,2.735605695,-1.707361538,1.290587668,-1.67481074,-1.705382578,1.49451873,-2.224084401,0.540989809,0.207758115,-0.845878294,-0.472549949,0.165971393,0.169880798,0.175886624,3.076665972,1.727628645,-7.028386677
Armenia,ARM,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",44.83300018,44.86399841,44.90399933,44.95199966,45.00299835,45.0530014,45.0870018,45.11700058,45.14099884,45.15800095,45.16899872,45.16199875,45.15100098,45.13899994,45.13199997,45.13000107,45.13399887,45.14500046,44.8390007,45.54999924,46.93399811,49.4620018,49.8370018,50.20700073,49.53900146,48.77799988,47.0340004,46.89099884,43.11199951,44.75699997,41.96099854,42.6629982,,0.069141547,0.089160389,0.106895458,0.113451433,0.111110489,0.075467551,0.066535316,0.05319117,0.037664443,0.024353984,-0.015497287,-0.024351828,-0.026579782,-0.015507587,-0.004429011,0.008858415,0.024375387,-0.677815379,1.585669895,3.038416891,5.386295211,0.75815775,0.74241812,-1.330490286,-1.536166585,-3.57538129,-0.304038685,-8.059114589,3.815644081,-6.247070707
Australia,AUS,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",52.2179985,51.95000076,51.9090004,51.67200089,52.57099915,53.57600021,53.76300049,53.54399872,53.59899902,53.58000183,54.4659996,55.0019989,55.18899918,55.87099838,55.64500046,56.92699814,57.47800064,58.02799988,58.50400162,58.70700073,58.56499863,58.81600189,58.72499847,58.64400101,58.61399841,59.07699966,59.30500031,59.81399918,60.45600128,60.92900085,60.17300034,61.05699921,,-0.513228675,-0.078922744,-0.456567281,1.739817009,1.91170243,0.349037393,-0.407346629,0.102719831,-0.035443185,1.653597876,0.984098891,0.339988143,1.235752082,-0.404499528,2.303886549,0.967910693,0.956886515,0.820296651,0.346983299,-0.241882746,0.428589211,-0.15472561,-0.137926725,-0.051160551,0.789915829,0.385938084,0.858273111,1.07333085,0.782386467,-1.240789293
Austria,AUT,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",43.00600052,43.54399872,44.84600067,45.30899811,48.63899994,49.38600159,48.81800079,48.70500183,49.31200027,49.47999954,49.3730011,49.33499908,50.5890007,50.77299881,49.99900055,51.29700089,51.98199844,52.84999847,53.38299942,54.04700089,54.15100098,54.50099945,54.98799896,55.2820015,55.29800034,55.35900116,55.92300034,55.9109993,55.9070015,55.97800064,55.62099838,55.51399994,,1.250984032,2.990083574,1.032416335,7.349537553,1.535807991,-1.150125086,-0.231469869,1.246275374,0.340686378,-0.216245846,-0.076969221,2.541809346,0.363711687,-1.524428887,2.596052564,1.33535596,1.669808889,1.008516483,1.24384443,0.192425278,0.646337958,0.893560699,0.534666725,0.028940414,0.110312893,1.018803021,-0.021459932,-0.007150297,0.126995088,-0.637754572
Azerbaijan,AZE,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",67.53900146,67.6760025,69.55899811,71.86599731,74.05200195,75.43000031,75.40499878,74.93199921,74.07900238,73.47100067,72.55599976,70.65699768,68.85099792,66.97699738,65.41100311,64.1269989,62.49399948,62.05599976,61.89699936,61.7840004,61.96699905,61.48199844,61.09799957,61.31700134,61.92100143,62.52399826,62.97900009,63.29600143,63.65800095,63.36899948,59.1609993,60.36600113,,0.202847295,2.782368248,3.316607871,3.041778755,1.86085226,-0.033145334,-0.627278802,-1.138361228,-0.820747701,-1.245390572,-2.617291584,-2.556009759,-2.721820461,-2.338107595,-1.962978934,-2.54650841,-0.70086685,-0.256220829,-0.182559677,0.296191014,-0.782675646,-0.624571225,0.358443438,0.985045058,0.973816334,0.727723504,0.503344515,0.571915292,-0.453990795,-6.640471236
Burundi,BDI,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",90.55500031,90.07499695,89.57299805,89.0490036,88.5019989,87.93099976,87.33899689,86.72200012,86.08000183,85.74700165,85.40699768,85.05899811,84.70500183,84.34300232,83.97399902,83.59799957,83.21499634,82.82499695,82.4280014,82.02300262,81.61100006,81.19200134,80.76499939,80.33000183,79.88800049,79.8690033,79.85900116,79.86100006,79.875,79.90200043,79.14299774,78.99099731,,-0.530068307,-0.557312149,-0.584991523,-0.614273802,-0.645182202,-0.67325843,-0.706439033,-0.740294608,-0.386849647,-0.396519949,-0.407460258,-0.416177341,-0.427364977,-0.437503155,-0.44775699,-0.458148804,-0.468664792,-0.479318514,-0.491336406,-0.502301245,-0.513409611,-0.52591628,-0.538596622,-0.550231959,-0.023779782,-0.012523176,0.002503038,0.017530383,0.033803352,-0.949917
Belgium,BEL,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",36.50400162,37.96300125,38.86700058,39.54999924,40.15599823,40.5359993,40.55599976,41,41.65200043,43.15599823,43.63100052,41.84899902,42.55500031,42.93299866,44.23099899,45.67200089,45.79600143,46.50699997,46.89500046,46.93299866,47.70100021,47.02500153,47.09500122,47.76599884,48.07899857,48.00600052,47.76599884,48.73300171,49.52500153,49.83000183,49.33300018,49.84199905,,3.996821086,2.381264122,1.757271328,1.532235157,0.946312095,0.049339989,1.094783132,1.590244945,3.610865714,1.100663426,-4.084255401,1.687020713,0.88825837,3.023316275,3.257900398,0.271502336,1.552534092,0.834284062,0.081028253,1.636378621,-1.417158308,0.148856337,1.424774609,0.655277254,-0.151829383,-0.499940999,2.024458594,1.625181682,0.615851178,-0.9973944
Benin,BEN,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",57.18500137,57.1590004,57.14500046,57.86399841,58.60100174,59.35699844,60.13800049,60.94200134,61.76699829,62.61700058,63.49300003,64.39499664,65.32700348,65.78399658,66.2460022,66.71199799,67.18499756,67.66100311,68.14099884,68.6230011,69.10700226,69.59400177,69.62599945,69.66500092,69.70899963,69.75700378,69.79799652,69.84600067,69.90100098,69.96199799,69.29599762,69.33399963,,-0.045468175,-0.024492974,1.258199229,1.27368199,1.290074711,1.315770786,1.336926482,1.353741147,1.376143106,1.398980217,1.42062371,1.447328029,0.699547015,0.702307004,0.703432318,0.709017249,0.708499772,0.709412668,0.70736013,0.705304565,0.70470357,0.045977642,0.056015662,0.063157565,0.068863634,0.058765048,0.068775829,0.078745103,0.087261997,-0.951945893
Burkina Faso,BFA,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",79.44999695,79.43099976,78.41899872,77.3710022,76.28800201,75.17099762,74.01899719,72.83200073,71.61100006,70.35500336,69.06600189,67.74199677,66.38700104,64.99900055,63.58200073,62.13600159,60.6629982,60.21099854,59.77799988,59.36500168,58.97499847,58.61000061,58.27000046,57.95700073,57.67100143,57.69599915,57.72000122,57.7480011,57.7820015,57.82500076,57.26699829,57.23699951,,-0.023910879,-1.274063075,-1.336406404,-1.399749457,-1.464194061,-1.532506503,-1.603637586,-1.676461801,-1.753915883,-1.832139014,-1.917014292,-2.000229979,-2.090771486,-2.180033239,-2.274227185,-2.370611803,-0.745099447,-0.719135486,-0.690886614,-0.656958129,-0.61890271,-0.580106038,-0.537154149,-0.493468079,0.043345374,0.041600935,0.048509836,0.058877184,0.074416369,-0.964984807
Bangladesh,BGD,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",26.63699913,26.70000076,26.80800056,26.95700073,27.13899994,27.34900093,27.52000046,27.72100067,27.93700027,28.14999962,28.34499931,28.4659996,28.58200073,28.68899918,28.78499985,28.87599945,28.87999916,29.27199936,29.67099953,30.0720005,30.47400093,30.87299919,31.27300072,31.67700005,32.08599854,32.50299835,32.93099976,36.10900116,36.24200058,36.31100082,34.54499817,34.86899948,,0.236519258,0.404493628,0.555804852,0.67514635,0.773797827,0.625249629,0.730378671,0.77919122,0.762427397,0.69271651,0.426884081,0.407507661,0.374356031,0.334625376,0.3161355,0.01385133,1.357341447,1.363077947,1.351491298,1.336793098,1.309307109,1.295635463,1.291847023,1.291152852,1.299631727,1.316805912,9.650485644,0.368327608,0.190387515,-4.863547176
Bulgaria,BGR,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",53.17200089,53.51100159,53.82400131,52.6780014,51.52899933,50.3769989,49.22299957,48.06900024,46.91400146,45.76200104,44.61199951,46.4090004,46.01800156,44.75299835,45.41699982,44.37799835,46.31999969,47.43600082,48.29199982,47.48300171,47.75799942,47.19300079,47.8219986,48.5530014,48.60800171,48.55500031,47.64899826,49.50400162,49.20700073,50.26900101,49.18299866,49.14300156,,0.637554909,0.584925933,-2.12916149,-2.181180084,-2.235635161,-2.290726629,-2.344431137,-2.402793429,-2.455557811,-2.513005332,4.028066226,-0.84250649,-2.748931204,1.483702745,-2.287692866,4.376045371,2.409328878,1.804534484,-1.675221799,0.579149804,-1.183045005,1.332820105,1.528591086,0.113278898,-0.109038434,-1.865929439,3.893058458,-0.599953287,2.158230046,-2.160381802
Bahrain,BHR,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",29.64500046,29.29199982,29.70800018,30.38199997,31.06900024,31.68499947,32.45399857,33.14899826,33.77600098,34.44400024,35.11100006,35.40599823,36.2820015,37.15000153,38.01900101,38.89599991,39.75600052,40.64199829,41.57300186,42.56700134,43.6230011,42.50400162,42.80899811,43.12099838,43.38600159,43.57500076,43.66600037,43.79100037,44.09700012,44.38999939,42.05500031,42.36100006,,-1.190759438,1.420184244,2.268748425,2.2612082,1.982681184,2.427013138,2.141491728,1.891468065,1.977733445,1.936476054,0.840187316,2.474166269,2.392370858,2.339164053,2.306738415,2.211025844,2.228588793,2.290742605,2.390973557,2.48079433,-2.565159327,0.717571238,0.72881938,0.614557209,0.43562248,0.208834427,0.28626391,0.698773157,0.66444263,-5.260191747
"Bahamas, The",BHS,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",64.44100189,65.05000305,65.65499878,66.25800323,66.86000061,69.51100159,68.06999969,70.58100128,70.73100281,70.9240036,71.01999664,71.11499786,71.71499634,71.37999725,71.04299927,70.62999725,70.21600342,69.80000305,69.3789978,68.95500183,69.38700104,69.84300232,69.72899628,69.68499756,69.78900146,69.86000061,69.91600037,69.89900208,69.97299957,70.06199646,63.23199844,65.6269989,,0.945052283,0.930047193,0.918444089,0.908565526,3.96500292,-2.073055861,3.688852061,0.212523942,0.272865909,0.135346339,0.133766862,0.84370174,-0.467125569,-0.472118239,-0.581340904,-0.586144488,-0.592458052,-0.603159356,-0.611130148,0.626494373,0.65718546,-0.163231875,-0.063099601,0.149248633,0.101734004,0.08015997,-0.024312448,0.105863453,0.127187469,-9.748506125
Bosnia and Herzegovina,BIH,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",33.84700012,34.29899979,34.52999878,34.59400177,34.34899902,34.02299881,33.73600006,33.5340004,33.2480011,32.64500046,32.31800079,32.06299973,31.77099991,31.55800056,31.25399971,30.85899925,30.62899971,30.76199913,31.42099953,31.76099968,32.99900055,32.66500092,32.42699814,32.36000061,32.92599869,33.45899963,32.04800034,32.34700012,31.41699982,32.87200165,32.66600037,32.25699997,,1.335420163,0.673486091,0.185354744,-0.708223201,-0.949082136,-0.843543364,-0.5987659,-0.852863645,-1.813644794,-1.001683749,-0.789037261,-0.910706482,-0.670420649,-0.96330835,-1.263839705,-0.745324047,0.43422711,2.14225478,1.082079366,3.897864936,-1.012150757,-0.728617084,-0.206610331,1.749066955,1.618784448,-4.217099476,0.93297486,-2.875074355,4.631256452,-0.626677024
Belarus,BLR,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",52.02999878,52.0909996,52.63399887,53.10200119,53.8769989,54.60800171,54.38499832,53.62799835,53.09199905,52.86600113,53.21099854,53.56000137,53.9109993,54.26200104,54.61399841,54.96500015,55.31600189,55.66699982,56.01699829,56.36500168,56.71300125,57.05799866,57.40200043,57.74499893,58.0870018,58.42900085,58.76900101,58.58200073,58.1609993,58.27500153,57.72800064,57.31100082,,0.11724164,1.04240516,0.889163524,1.459451045,1.356799418,-0.408371265,-1.391927908,-0.999476607,-0.425672284,0.652588429,0.655884775,0.655335914,0.6510763,0.648699585,0.642695554,0.638591355,0.634532347,0.628736011,0.621246047,0.617403641,0.608321546,0.602898416,0.597537546,0.592264049,0.588770367,0.581903075,-0.318195429,-0.71865322,0.196011467,-0.938654433
Belize,BLZ,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",32.53099823,33.29600143,34.08800125,34.45199966,34.33300018,35.67300034,37.02099991,38.38100052,39.27399826,39.30500031,39.80500031,40.31299973,40.82300186,41.33300018,41.84799957,42.36700058,42.88999939,43.41799927,43.94800186,44.47700119,45.00299835,45.52999878,46.05199814,46.5719986,47.48600006,48.36199951,49.23799896,48.84799957,49.07600021,49.10699844,45.85900116,46.89699936,,2.351613064,2.378663451,1.06781976,-0.345406602,3.902950938,3.778767023,3.673592323,2.326666136,0.078937837,1.272102776,1.276220114,1.265105896,1.249291572,1.245976308,1.240205057,1.234448516,1.231055923,1.220697874,1.203693698,1.182627308,1.171034034,1.146495438,1.129159382,1.962555811,1.844753084,1.811338364,-0.792069942,0.466755328,0.063163725,-6.614123011
Bolivia,BOL,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",56.83800125,57.33599854,57.30599976,57.68999863,58.13999939,58.59400177,58.98099899,59.46500015,59.36100006,59.25600052,59.15000153,59.87400055,60.5929985,61.30699921,62.01599884,62.72000122,63.42100143,61.52700043,62.0340004,62.625,62.25999832,61.89599991,57.68199921,58.80799866,61.1969986,54.63800049,56.97200012,59.1590004,63.60300064,60.75099945,54.71900177,68.28299713,,0.876169592,-0.05232102,0.670084934,0.780032542,0.780877855,0.660472422,0.820605225,-0.174892948,-0.176883041,-0.178883138,1.22400508,1.200851703,1.178355123,1.156474208,1.135194778,1.117666135,-2.98639404,0.82402842,0.952702711,-0.582837012,-0.584642504,-6.808195535,1.95208118,4.062372455,-10.7178428,4.271751552,3.83872827,7.511959658,-4.484067043,-9.929050938
Brazil,BRA,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",41.38399887,41.46099854,42.70100021,43.9469986,45.20000076,46.45800018,45.23500061,46.15499878,46.94900131,48.11899948,49.47900009,50.83800125,52.19100189,52.44200134,53.51499939,54.61800003,54.36800003,54.17200089,53.87200165,54.32500076,52.93099976,51.52999878,51.43799973,51.29600143,51.2519989,51.74300003,51.71300125,52.62400055,52.75799942,53.43600082,47.70999908,49.11000061,,0.18606144,2.990766557,2.917960648,2.851166648,2.783184511,-2.632484325,2.033819292,1.72029586,2.492061889,2.826327698,2.746622117,2.661396215,0.48092476,2.046066167,2.061105584,-0.457724559,-0.360504608,-0.553790209,0.840880422,-2.566039554,-2.646843972,-0.178534943,-0.276057179,-0.085781604,0.958013618,-0.057976498,1.761644608,0.254634519,1.285115833,-10.71562552
