Country Code,Country Name,Year,Fertility Rate
CHN,China,1960,5.756
CHN,China,1961,5.905
CHN,China,1962,6.062
CHN,China,1963,6.206
CHN,China,1964,6.32
CHN,China,1965,6.385
CHN,China,1966,6.384
CHN,China,1967,6.316
CHN,China,1968,6.184
CHN,China,1969,5.986
CHN,China,1970,5.725
CHN,China,1971,5.403
CHN,China,1972,5.035
CHN,China,1973,4.643
CHN,China,1974,4.244
CHN,China,1975,3.859
CHN,China,1976,3.508
CHN,China,1977,3.2
CHN,China,1978,2.943
CHN,China,1979,2.745
CHN,China,1980,2.613
CHN,China,1981,2.547
CHN,China,1982,2.536
CHN,China,1983,2.561
CHN,China,1984,2.607
CHN,China,1985,2.65
CHN,China,1986,2.666
CHN,China,1987,2.643
CHN,China,1988,2.575
CHN,China,1989,2.46
CHN,China,1990,2.309
CHN,China,1991,2.14
CHN,China,1992,1.977
CHN,China,1993,1.838
CHN,China,1994,1.731
CHN,China,1995,1.66
CHN,China,1996,1.622
CHN,China,1997,1.605
CHN,China,1998,1.597
CHN,China,1999,1.595
CHN,China,2000,1.596
CHN,China,2001,1.597
CHN,China,2002,1.6
CHN,China,2003,1.604
CHN,China,2004,1.608
CHN,China,2005,1.612
CHN,China,2006,1.615
CHN,China,2007,1.617
CHN,China,2008,1.62
CHN,China,2009,1.623
CHN,China,2010,1.627
CHN,China,2011,1.632
CHN,China,2012,1.639
CHN,China,2013,1.647
CHN,China,2014,1.656
CHN,China,2015,1.665
CHN,China,2016,1.675
CHN,China,2017,1.683
CHN,China,2018,1.69
CHN,China,2019,1.696
CHN,China,2020,1.7
JPN,Japan,1960,2.001
JPN,Japan,1961,2.05
JPN,Japan,1962,2.01
JPN,Japan,1963,2.02
JPN,Japan,1964,2.05
JPN,Japan,1965,2.139
JPN,Japan,1966,1.58
JPN,Japan,1967,2.02
JPN,Japan,1968,2.13
JPN,Japan,1969,2.13
JPN,Japan,1970,2.135
JPN,Japan,1971,2.16
JPN,Japan,1972,2.14
JPN,Japan,1973,2.14
JPN,Japan,1974,2.05
JPN,Japan,1975,1.909
JPN,Japan,1976,1.85
JPN,Japan,1977,1.8
JPN,Japan,1978,1.79
JPN,Japan,1979,1.77
JPN,Japan,1980,1.75
JPN,Japan,1981,1.74
JPN,Japan,1982,1.77
JPN,Japan,1983,1.8
JPN,Japan,1984,1.81
JPN,Japan,1985,1.76
JPN,Japan,1986,1.72
JPN,Japan,1987,1.69
JPN,Japan,1988,1.66
JPN,Japan,1989,1.57
JPN,Japan,1990,1.54
