Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.80385832,,,,,,,,,,26.6747897,,,,,,,,,,28.34459483,,,,,,,,,42.52600969,,
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,,,10.3,,13.6,18.6,,22.8,,21.8,21.2,,,,22.5,22.5,,,,,
Africa Western and Central,AFW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.038955436,,,,,,,,,,15.40968692,,,,,,,,,,17.751448,,,,,,,,,19.1494065,,
Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,6.3,,,,,,,,20,,,,,,,13.7,,,,,
Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.5,,75.1,,,60.1,,,,69.3,,,,,,,,,46,,,
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.98873417,,,,,,,,,,44.54008838,,,,,,,,,,49.64232211,,,,,,,,,,,
United Arab Emirates,ARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.4,,,,,,,70.1,
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,60.5,,,,,53.1,,,,,54.9,,,,,,57.1,,,,,
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,,,,,48.2,,,,,,,52.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,76.1,,,,,,,,,,,,,,,,,,,,65.2,,,62,,,67.8,,,,66.9,,,,,
Austria,AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,,,,,,,,69.6,,,,65.7,,,,,,,,
Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.1,55.4,,,,,51.1,,,,,54.9,,,,,,,,,,
Burundi,BDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7,,,,,,,,,,,,,15.7,,20,,,9.1,,,,22.7,21.9,21.9,31.7,,,,,28.5,,,,
Belgium,BEL,,,,,,,72,,,,,,,,,,87,,,,,,,81,,,,,,,,,78.4,,,,,,,,,,,,,,,,,73.7,,,,66.8,,,,,66.7,,,
Benin,BEN,,,,,,,,,,,,,,,,,,,,,,,6.6,,,,,,,,,,,,,,16.4,,,,,18.6,,,,,17,,,,,,12.9,,17.9,,,,15.5,,,
Burkina Faso,BFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.9,,,,,,11.9,,,,13.8,,,17.5,,,,16.2,16.2,,,18.4,21.2,25.4,25.7,,32.5,29.6,35.2
Bangladesh,BGD,,,,,,,,,,,,,,,,,7.9,,,,12.1,18.6,,,19.1,,25.3,,,31.4,,39.9,,,44.9,,,49.8,,,54.3,50.2,,,58.5,,,55.8,,,,61.2,,61.8,62.4,,62.8,,61.9,62.7,,
Bulgaria,BGR,,,,,,,,,,,,,,,,,75.1,,,,,,,,,,,,,,,,,,,85.9,,,63.4,,,,,,,64.4,,70.1,,,,,,,,,,,,,,
Bahrain,BHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.8,,,,,,61.8,,,,,53.4,,,,,,,,,,,,,,,,,,,,,
"Bahamas, The",BHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.5,,,,,,35.7,,,,,,46,,,,,,,,,
Belarus,BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.4,,,,,,,,,,72.6,,,,,,,63.1,,,,,71.2,,52.6,,
Belize,BLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.9,,,,,,,,56.1,,,,,,,,,,,,55.2,,,,,51.4,,,,,
Bermuda,BMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.3,,,,,45.3,,,,48.3,,53.4,,,58.4,58.4,,,,60.6,,,,,,,,66.5,,,,,
Brazil,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,66.2,,,,,,,,,,76.7,,,,,,,,,,,80.6,,,,,,80.2,,,,,,,,
Barbados,BRB,,,,,,,,,,,,,,,,,,,,,,46.5,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,59.2,,,,,,,,,
Brunei Darussalam,BRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.7,,,,,,,,,,65.6,,,,,,,,,,,
Botswana,BWA,,,,,,,,,,,,,,,,,,,,,,,,,19.3,,,,33,,,,,,,,47.2,,,,44.4,,,,,,,,69.7,,,,,,,,,67.4,,,,
Central African Republic,CAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8,,,,,27.9,,,,,,19,,,,,15.2,,,,,,,,17.8,,
Canada,CAN,,,,,,,,,,,,,,,,,,,,,,,,,73.1,,,,,,,,,,,74.7,,,80,,,,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,CEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,,,,,,,,,,,,,,,,,,,,,71.2,,,,,,,,,,,,,,,82,,,,,,,,,,,,,,,,,73,,,,,71.6,,,,
Channel Islands,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.2,,,,,,,,,,76.3,,,,,
China,CHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.8,,,,86.9,,,,,84.6,,,,,,,,,,,84.5,,,,
Cote d'Ivoire,CIV,,,,,,,,,,,,,,,,,,,,,,2.9,,,,,,,,,,,,,11.4,,,,,15,,,,,,,14.6,,,,,,18.2,,,,15.5,22.3,21.5,,25.5,
Cameroon,CMR,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,16.1,,,,,,,19.3,,25.2,,,,26,,29.2,,,,,23.4,,,34.3,,,,19.3,,,
"Congo, Dem. Rep.",COD,,,,,,,,,,,,,,,,,,,,,,,,15.4,,,,,,,,7.7,,,,,,,,,,31.4,,,,,,20.6,,,17.7,,,,20.4,,,,28.1,,,
"Congo, Rep.",COG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.3,,,,,,,44.7,,,30.1,,,,,,
Colombia,COL,,,,,,,,,,20.5,,,,,,,42.5,,,,48.5,,,,,,64.8,,,,66.1,,,,,72.2,,,,,76.9,,,,,78.2,,,,,79.1,,,,,81,80.9,,,,,
Comoros,COM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,25.8,,,,,,,,,,,,19.4,,,,,,,,,
Cabo Verde,CPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.8,,,,,,,,,52.9,,,,,,,61.3,,,,,,,,,,,,,55.8,,,
Costa Rica,CRI,,,,,,,,,,,,,,,,,64.4,,63.5,,,65.2,,,,,69,,,,,,,75,,,,,,80,,,,,,,,,,,82.1,76.2,,,,77.8,,,70.9,,,
Caribbean small states,CSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.58755547,,,,,,,,,,,,,,,,,,,,57.75155857,,,,,,,,,,,
Cuba,CUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,73.3,,,,,,,,,,,74.3,,,73.7,,,,,69.1,,
Curacao,CUW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czechia,CZE,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,68.9,,,,72.3,,,,,,,,78.2,,,86.3,,,,,,,,,,,,,
Germany,DEU,,,,,,,,,,,,70.1,82.2,,,,,,,,,,,,,77.9,,,,,,,70,,,,,,,,,,,,,68.4,,,50.4,,,80.3,,,,,,,,,,
Djibouti,DJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,17.8,,,,,,19,,,,,,,,,
Dominica,DMA,,,,,,,,,,,,,,,,,,,,,,,62.3,,,,,49.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,,,,,,,,,,,67,,,,,63,,,,,,,,,,,,,,,,,76.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,DOM,,,,,,,,,,,,,,,,31.8,,,,,42,,,39.3,,,49.8,,,,,56.4,,,,,63.7,,,69.2,64.7,,69.8,,,,61.3,72.9,,,73,,,71.9,69.5,,,,,62.8,,
Algeria,DZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.8,,,,,50.7,,,56.9,,,,,64,,57,,,,61.4,,,,,,,57.1,,,,,,53.6,,
East Asia & Pacific (excluding high income),EAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.34342982,,,,,,,,,,,,,,,,,,,77.36576606,,
Early-demographic dividend,EAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.84995725,,,,,,,,,,47.98367929,,,,,,,,,,55.86441599,,,,,,,,,60.65504145,,
East Asia & Pacific,EAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.26432819,,,,,,,,,,,,,,,,,,,75.61955124,,
Europe & Central Asia (excluding high income),ECA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.02208479,,,,,,,,,,,
Europe & Central Asia,ECS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.08637971,,,,,,,,,,,
Ecuador,ECU,,,,,,,,,,,,,,,,,,,,35,,,39.2,,,,,44.3,,52.9,,,,,56.8,,,,,66.3,,,,,72.7,,,,,,,,80.1,,74.7,,,,,77.9,,
"Egypt, Arab Rep.",EGY,,,,,,,,,,,,,,,,24.9,,,,,31.4,,,,30.3,,,,37.8,37.8,,47.6,47.1,47.1,,47.9,47.9,,54.5,,56.1,,,60,,59.2,,,60.3,,,,,,58.5,,,,,,,
Euro area,EMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.21310447,,,,,,,,,,,
Eritrea,ERI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,,,,,,8,,,,,,,,8.7,,,,,,,,,,,
Spain,ESP,,,,,,,,,,,,,,,,,,47.1,,,,,,,,62.1,,,,,,,,,,81.1,,,,71.9,,,,,,,65.7,,,70.1,,,,,,,,,62.1,,,
Estonia,EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.1,,,,,,,,,,,63.4,66.7,,,,64.1,,,,75.1,,,,,,,
Ethiopia,ETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,,,,,,,3.3,,,8.1,,,,,14.7,,,,,,28.6,,,42,36.9,35.9,36.3,40,41.4,37.7,
European Union,EUU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.62190358,,,,,,,,,,,
Fragile and conflict affected situations,FCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.65581308,,,,,,,,,,28.79949753,,,,,,,,,29.17690525,,
Finland,FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.4,,78.8,,,,,,,79.5,,,,,,,,74.2,,,,,,,,85.5,,,,,,
Fiji,FJI,,,,,,,,,,,,,,,40.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,FRA,,,,,,,,,,,,,,,,,,,78.7,,,,,,,,,,81.2,,,,,,74.6,,,,,,,,,,,76.6,,,75,,,78.4,,,,,,,,,,
Faroe Islands,FRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,GAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.7,,,,,,,,,,,,31.1,,,,,,,,,
United Kingdom,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,,,,,,82,,,,,83,82,87.7,80,83,84,84,82,82,,84,,,76.1,,,,,,,,,,
Georgia,GEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.5,,,,,31.5,45.9,,,32.2,53.4,,,,,,,,39.3,,,
Ghana,GHA,,,,,,,,,,,,,,,,,,,,,9.5,,,,,,,,12.9,,,,,20.3,20.3,,,,22,22,,,,25.2,,,16.6,,23.5,,,34.7,,19.6,26.7,32.9,28.2,30.8,27.2,,,
Gibraltar,GIB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,,,,,6.2,,,,,,9.1,,,,,,,5.6,,,,8.6,,10.9,,,
"Gambia, The",GMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,,,,,,,,,,9.5,17.5,,,,,,,,,13.3,,,9,,,,,16.7,,18.9,
Guinea-Bissau,GNB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,,,,,,10.3,,,,14.2,,,,16,,,,,21.2,,
Equatorial Guinea,GNQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,,,,,,,,,,,12.6,,,,,,,,,,
Greece,GRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.3,,,,,,,,,,,,,,,,,,,,,,
Grenada,GRD,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,54.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,GRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,,,,,,,,,,,,,,,,,,,18.2,,,,,25,,,,23.2,,,,,,,,31.4,,,,38.2,,,43.3,,,,,,,54.1,,,,,,60.6,,,,,,
Guam,GUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,,,,,,,,,,,,,,,,29.5,,,,,,,,,,,,,,,,,38.2,,,,,,,,37.3,,,,,34.6,,34.2,,42.5,,,,,33.9,,,,,,29.9,
High income,HIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.47841424,,,,,,,,,,,
"Hong Kong SAR, China",HKG,,,,,,,,42,,,,,49.6,,,,,71.9,,,,,72.3,,,,,80.8,,,,,86,,,,,86,,,,,84,,,,,79.5,,,,,74.8,,,,,66.7,,,,
Honduras,HND,,,,,,,,,,,,,,,,,,,,,,26.9,,,34.9,,,40.6,,,,,46.7,,,,49.2,,,,,61.8,,,,,65.2,,,,,,73.2,,,,,,,69.4,,
Heavily indebted poor countries (HIPC),HPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.99656377,,,,,,,,,,19.1129525,,,,,,,,,,25.22196426,,,,,,,,,33.00642349,,
Croatia,HRV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiti,HTI,,,,,,,,,,,,,,,,,,18.9,,,,,,6.9,,,,6.7,,10.2,,,,,,18,,,,,28.1,,,,,,32,,,,,,34.5,,,,,34.3,,,,
Hungary,HUN,,,,,,,66.6,,,67,,,73,,74,76,,73.1,,,,,,,,,73.1,,,,,,,80.7,,,,,,,,,,,,,,,,61.8,,,,,,,,,,,,
IBRD only,IBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.23546649,,,,,,,,,,,,,,,,,,,71.84402484,,
IDA & IBRD total,IBT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.08515708,,,,,,,,,,52.27792497,,,,,,,,,62.67805746,,
IDA total,IDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.69294381,,,,,,,,,,28.44491494,,,,,,,,,,32.06271647,,,,,,,,,37.30539919,,
IDA blend,IDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.67281934,,,,,,,,,,28.35519564,,,,,,,,,,27.42194416,,,,,,,,,31.30299124,,
Indonesia,IDN,,,,,,,,,,,,,,8.6,,,26.3,,,31.2,,,,,,38.5,,47.7,,,,49.7,,53.1,54.7,54.2,54.2,57.4,55.4,55.4,54.8,52.5,54.2,60.3,56.7,57.9,57.9,61.4,61.4,60.6,61,61.3,61.9,62,61.6,60,59.4,63.6,,,,
IDA only,IDX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.08405905,,,,,,,,,,28.49109993,,,,,,,,,,34.41702704,,,,,,,,,40.45454365,,
Isle of Man,IMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,IND,,,,,,,,,,,,13.6,,,,,,,,,,35.3,,,,,,,44.9,,,,,40.7,,,,,,48.2,46.9,,,53,,54.4,56.3,,54.8,,,,,,,,53.5,,,,66.7,66.7
Not classified,INX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.7,64.8,,,,,73.3,,,,,,,,,,,
"Iran, Islamic Rep.",IRN,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,48.9,,,64.6,67.8,70,72.8,73.7,72.9,,,73.8,,73.3,,,,,,,,,77.4,,,,,,,,,,
Iraq,IRQ,,,,,,,,,,,,,,,14.5,,,,,,,,,,,,,,,13.7,,,,,,,,,,,43.5,,,,,,49.8,,,,,52.5,,,,,,,52.8,,,
Iceland,ISL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,ISR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.7,,,,,,,,,,,,,,,,,65.1,,,,,,,,
Jamaica,JAM,,,,,,,,,,,,,,,,,38.3,,,54.9,,,,51.4,,,,,,54.6,,,,62,,,,65.7,,,,,,69.1,,,,,,72.5,,,,,,,,,,,,
Jordan,JOR,,,,,,,,,,,,,26.1,,,,25.2,,,,,,,26,,,,,,,34.9,,,,,,,52.6,,,,,55.8,,,,,56.8,,59.3,,,61.2,,,,,,51.8,,,
Japan,JPN,,42,,44.6,,55.5,,53,,52.1,,52.6,,59.3,,60.5,,60.4,,62.2,,,,,57.3,,62.8,64.5,56.3,,57.9,,64,,58.6,,56.6,60.4,54.1,,55.9,,,,52,54.3,,,,,,,,,54.7,39.8,,,,,,
Kazakhstan,KAZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.1,,,,66.1,,,,,,,50.7,,,,,51,,,,55.7,,,53,,,
Kenya,KEN,,,,,,,,,,,,,,,,,,,7,,,,,,17,,,,,26.9,,,,32.7,,,,,39,,,,,39.3,,,,,,45.5,,,,,58,64.1,61.2,60,61.9,59.7,65.1,
Kyrgyz Republic,KGZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.5,,,,,,,,,47.8,,,,,,36.3,,41.9,,,,39.4,,,
Cambodia,KHM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6,,,21.8,,23.8,,,,,40,40,,,,50.5,50.5,,,56.3,,,,,,,
Kiribati,KIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7,,,,,,,,20,22.3,,,,,,,,,,33.6,,
St. Kitts and Nevis,KNA,,,,,,,,,,,,,,,,,,,,,,,,,40.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",KOR,,,,,,16,20,,,,,24.2,,,34.9,,44.2,,,54.5,,,57.7,,,70.4,,,77.1,,,79.4,,,77.4,,,80.5,,,79.3,,,84.5,,80.2,79.6,,,80,,,77.1,,,79.6,,,82.3,,,
