Country,% of earnings spent on childcare (two parents),Continent
Chile,29,South America
Netherlands,28,Europe
Turkey,27,Asia
Colombia,25,South America
United Kingdom,23,Europe
Costa Rica,21,North America
Slovak Republic,21,Europe
Greece,21,Europe
Switzerland,20,Europe
Portugal,20,Europe
Lithuania,20,Europe
Latvia,19,Europe
Mexico,17,North America
Israel,17,Asia
Luxembourg,17,Europe
Ireland,16,Europe
Slovenia,16,Europe
Hungary,15,Europe
Italy,15,Europe
Czech Republic,14,Europe
Australia,14,Oceania
Poland,14,Europe
Belgium,13,Europe
Spain,13,Europe
United States,13,North America
France,13,Europe
Canada,11,North America
New Zealand,9,Oceania
Estonia,8,Europe
Denmark,8,Europe
Japan,7,Asia
Austria,7,Europe
Germany,6,Europe
Finland,6,Europe
Norway,5,Europe
Iceland,4,Europe
Sweden,2,Europe
