Date,GRA Purchases,PRGT 1/2/,Totals,Year,GDP,Totals/GDP,Percentages
08/31/2022,93769635059,15254184552,1.09024E+11,2022,1.04E+14,0.001049647,0.1049647
12/31/2021,89474552025,14554823681,1.04029E+11,2021,9.63E+13,0.001080347,0.1080347
12/31/2020,93408630285,12481816684,1.0589E+11,2020,8.52E+13,0.001242282,0.1242282
12/31/2019,66945509865,6590835450,73536345315,2019,8.75E+13,0.000840067,0.0840067
12/31/2018,55395611392,6426181029,61821792421,2018,8.61E+13,0.000718149,0.0718149
12/31/2017,39585385873,6522280669,46107666542,2017,8.09E+13,0.000569614,0.0569614
12/31/2016,49267630851,6482647937,55750278788,2016,7.63E+13,0.000730985,0.0730985
12/31/2015,50757840741,6575911158,57333751899,2015,7.50E+13,0.000764016,0.0764016
12/31/2014,69041563463,6292755583,75334319046,2014,7.93E+13,0.000949731,0.0949731
12/31/2013,83899249061,6174392682,90073641743,2013,7.73E+13,0.001165386,0.1165386
12/31/2012,90042348252,5766292503,95808640755,2012,7.51E+13,0.001275460,0.127546
12/31/2011,87276915790,5308609594,92585525384,2011,7.37E+13,0.001255435,0.1255435
12/31/2010,55620104510,4819344134,60439448644,2010,6.64E+13,0.000909742,0.0909742
12/31/2009,37221142436,5079705286,42300847722,2009,6.07E+13,0.000696526,0.0696526
12/31/2008,17514964723,3972372030,21487336753,2008,6.41E+13,0.000335172,0.0335172
12/31/2007,6036146757,3796945581,9833092338,2007,5.84E+13,0.000168251,0.0168251
12/31/2006,9822640239,3844020520,13666660759,2006,5.18E+13,0.000264024,0.0264024
12/31/2005,28432143237,6282121668,34714264905,2005,4.78E+13,0.000726358,0.0726358
12/31/2004,55373766674,6766029353,62139796027,2004,4.41E+13,0.001408525,0.1408525
12/31/2003,65032062712,6880893268,71912955980,2003,3.92E+13,0.001834826,0.1834826
12/31/2002,63601058794,6868671012,70469729806,2002,3.49E+13,0.002019185,0.2019185
12/31/2001,53477225409,6424578684,59901804093,2001,3.38E+13,0.001772856,0.1772856
12/31/2000,42990531049,6331595468,49322126517,2000,3.40E+13,0.001448952,0.1448952
12/31/1999,51061861875,6434274362,57496136237,1999,3.29E+13,0.001744968,0.1744968
12/31/1998,60451017051,6288825925,66739842976,1998,3.18E+13,0.002097123,0.2097123
12/31/1997,46559033783,6009867422,52568901205,1997,3.20E+13,0.001643824,0.1643824
12/31/1996,36127472805,5881609752,42009082557,1996,3.21E+13,0.001309964,0.1309964
12/31/1995,35929173412,5657438528,41586611940,1995,3.12E+13,0.001332917,0.1332917
12/31/1994,25611676952,4599768498,30211445450,1994,2.80E+13,0.001079547,0.1079547
12/31/1993,25196745031,3942792899,29139537930,1993,2.60E+13,0.001119050,0.111905
12/31/1992,23967172718,3804463796,27771636514,1992,2.53E+13,0.001096468,0.1096468
12/31/1991,23378573926,3285717796,26664291722,1991,2.45E+13,0.001088673,0.1088673
12/31/1990,20731851093,2571911617,23303762710,1990,2.37E+13,0.000985193,0.0985193
12/31/1989,22315104224,2334886562,24649990786,1989,2.01E+13,0.001225018,0.1225018
12/31/1988,24750004884,1773964293,26523969177,1988,1.91E+13,0.001386850,0.138685
12/31/1987,28751979125,1866342930,30618322055,1987,1.70E+13,0.001800131,0.1800131
12/31/1986,33334905644,2013169931,35348075575,1986,1.48E+13,0.002392914,0.2392914
12/31/1985,35194787249,2470247948,37665035197,1985,1.25E+13,0.003007590,0.300759
12/31/1984,34936772393,2769874900,37706647293,1984,1.20E+13,0.003142899,0.3142899
