Country,Year,Country Code,"Age at first marriage, female"
Aruba,2010,ABW,28.5
Afghanistan,2015,AFG,21.5
Angola,2016,AGO,21.5
Albania,2018,ALB,24.2
Argentina,2010,ARG,24.6
Armenia,2015,ARM,24.2
Australia,2016,AUS,29.9
Austria,2011,AUT,27.1
Azerbaijan,2018,AZE,24.2
Burundi,2016,BDI,22.8
Belgium,2011,BEL,26.3
Benin,2018,BEN,20.7
Burkina Faso,2017,BFA,20
Bangladesh,2014,BGD,18.8
Bulgaria,2018,BGR,32.6
Bahrain,2010,BHR,26.9
"Bahamas, The",2010,BHS,27.9
Bosnia and Herzegovina,2012,BIH,25.7
Belarus,2012,BLR,22.5
Belize,2016,BLZ,20.5
Bermuda,2016,BMU,31.9
Bolivia,2016,BOL,24
Brazil,2010,BRA,23.9
Barbados,2012,BRB,17
Brunei Darussalam,2011,BRN,26.1
Bhutan,2017,BTN,23.8
Botswana,2017,BWA,22.9
Central African Republic,2010,CAF,17.3
Canada,2016,CAN,27.2
Switzerland,2017,CHE,30.9
Chile,2011,CHL,27.4
China,2016,CHN,25.4
Cote d'Ivoire,2016,CIV,23
Cameroon,2014,CMR,22.2
"Congo, Dem. Rep.",2014,COD,20.9
"Congo, Rep.",2015,COG,21.9
Colombia,2015,COL,22.7
Comoros,2012,COM,22.6
Costa Rica,2018,CRI,26.4
Cuba,2014,CUB,22.1
Cayman Islands,2010,CYM,28
Cyprus,2011,CYP,26.4
Czech Republic,2018,CZE,32.4
Germany,2018,DEU,31.7
Djibouti,2012,DJI,29.9
Denmark,2018,DNK,31.9
Dominican Republic,2014,DOM,21.5
Algeria,2012,DZA,28.2
Ecuador,2010,ECU,21.8
"Egypt, Arab Rep.",2017,EGY,22.3
Spain,2011,ESP,27.7
Estonia,2018,EST,33.6
Ethiopia,2016,ETH,21.3
Finland,2018,FIN,30.7
France,2013,FRA,32
Faroe Islands,2018,FRO,31
"Micronesia, Fed. Sts.",2010,FSM,25.3
Gabon,2012,GAB,22.9
United Kingdom,2011,GBR,27
Georgia,2014,GEO,22.8
Ghana,2017,GHA,23.7
Gibraltar,2012,GIB,29.1
Guinea,2014,GIN,19.8
"Gambia, The",2013,GMB,21.5
Guinea-Bissau,2014,GNB,24.1
Equatorial Guinea,2011,GNQ,20.5
Greece,2011,GRC,29.2
Greenland,2018,GRL,32.9
Guatemala,2018,GTM,22.7
Guyana,2014,GUY,19.2
"Hong Kong SAR, China",2016,HKG,29.9
Honduras,2012,HND,21.2
Croatia,2011,HRV,27.4
Haiti,2016,HTI,24.9
Hungary,2018,HUN,32.9
Indonesia,2017,IDN,22.4
Isle of Man,2011,IMN,30.7
India,2016,IND,21.4
Ireland,2016,IRL,32.4
"Iran, Islamic Rep.",2016,IRN,23.1
Iraq,2012,IRQ,22.7
Iceland,2018,ISL,32.4
