,p25,p_median,item_id,itemName,dateStata
0,5,6,211501,Home-Produced Cheddar per kg,01-01-2021
1,0,0,212601,Canned Tomatoes 400g,01-01-2021
2,2,3,212939,CHILLED PIZZA EACH 300-600G,01-01-2021
3,1,1,212405,Frozen Chips 900G-1.5KG',01-01-2021
4,0,0,210204,Dry Spaghetti/Pasta 500g,01-01-2021
5,1,1,212918,Frozen Ready Meal,01-01-2021
6,1,1,212918,Frozen Ready Meal,01-02-2021
7,0,0,212601,Canned Tomatoes 400g,01-02-2021
8,5,5,211501,Home-Produced Cheddar per kg,01-02-2021
9,1,2,212405,Frozen Chips 900G-1.5KG',01-02-2021
10,0,0,210204,Dry Spaghetti/Pasta 500g,01-02-2021
11,2,3,212939,CHILLED PIZZA EACH 300-600G,01-02-2021
12,0,0,212601,Canned Tomatoes 400g,01-03-2021
13,0,0,210204,Dry Spaghetti/Pasta 500g,01-03-2021
14,1,1,212918,Frozen Ready Meal,01-03-2021
15,5,6,211501,Home-Produced Cheddar per kg,01-03-2021
16,1,2,212405,Frozen Chips 900G-1.5KG',01-03-2021
17,3,3,212939,CHILLED PIZZA EACH 300-600G,01-03-2021
18,1,2,212405,Frozen Chips 900G-1.5KG',01-04-2021
19,1,1,212918,Frozen Ready Meal,01-04-2021
20,5,6,211501,Home-Produced Cheddar per kg,01-04-2021
21,2,3,212939,CHILLED PIZZA EACH 300-600G,01-04-2021
22,0,0,212601,Canned Tomatoes 400g,01-04-2021
23,0,0,210204,Dry Spaghetti/Pasta 500g,01-04-2021
24,0,0,210204,Dry Spaghetti/Pasta 500g,01-05-2021
25,5,6,211501,Home-Produced Cheddar per kg,01-05-2021
26,1,1,212918,Frozen Ready Meal,01-05-2021
27,1,2,212405,Frozen Chips 900G-1.5KG',01-05-2021
28,2,3,212939,CHILLED PIZZA EACH 300-600G,01-05-2021
29,0,0,212601,Canned Tomatoes 400g,01-05-2021
30,2,3,212939,CHILLED PIZZA EACH 300-600G,01-06-2021
31,1,1,212918,Frozen Ready Meal,01-06-2021
32,0,0,212601,Canned Tomatoes 400g,01-06-2021
33,5,5,211501,Home-Produced Cheddar per kg,01-06-2021
34,1,2,212405,Frozen Chips 900G-1.5KG',01-06-2021
35,0,0,210204,Dry Spaghetti/Pasta 500g,01-06-2021
36,0,0,210204,Dry Spaghetti/Pasta 500g,01-07-2021
37,5,5,211501,Home-Produced Cheddar per kg,01-07-2021
38,0,0,212601,Canned Tomatoes 400g,01-07-2021
39,1,2,212405,Frozen Chips 900G-1.5KG',01-07-2021
40,1,1,212918,Frozen Ready Meal,01-07-2021
41,2,3,212939,CHILLED PIZZA EACH 300-600G,01-07-2021
42,1,2,212405,Frozen Chips 900G-1.5KG',01-08-2021
43,2,3,212939,CHILLED PIZZA EACH 300-600G,01-08-2021
44,5,5,211501,Home-Produced Cheddar per kg,01-08-2021
45,1,1,212918,Frozen Ready Meal,01-08-2021
46,0,0,210204,Dry Spaghetti/Pasta 500g,01-08-2021
47,0,0,212601,Canned Tomatoes 400g,01-08-2021
48,5,5,211501,Home-Produced Cheddar per kg,01-09-2021
49,2,3,212939,CHILLED PIZZA EACH 300-600G,01-09-2021
50,1,2,212405,Frozen Chips 900G-1.5KG',01-09-2021
51,1,1,212918,Frozen Ready Meal,01-09-2021
52,0,0,212601,Canned Tomatoes 400g,01-09-2021
53,0,0,210204,Dry Spaghetti/Pasta 500g,01-09-2021
54,1,1,212918,Frozen Ready Meal,01-10-2021
55,0,0,212601,Canned Tomatoes 400g,01-10-2021
56,0,0,210204,Dry Spaghetti/Pasta 500g,01-10-2021
57,2,3,212939,CHILLED PIZZA EACH 300-600G,01-10-2021
58,1,2,212405,Frozen Chips 900G-1.5KG',01-10-2021
59,5,5,211501,Home-Produced Cheddar per kg,01-10-2021
60,0,0,210204,Dry Spaghetti/Pasta 500g,01-11-2021
61,2,3,212939,CHILLED PIZZA EACH 300-600G,01-11-2021
62,1,2,212405,Frozen Chips 900G-1.5KG',01-11-2021
63,0,0,212601,Canned Tomatoes 400g,01-11-2021
64,5,5,211501,Home-Produced Cheddar per kg,01-11-2021
65,1,1,212918,Frozen Ready Meal,01-11-2021
66,1,1,212918,Frozen Ready Meal,01-12-2021
67,1,2,212405,Frozen Chips 900G-1.5KG',01-12-2021
68,2,3,212939,CHILLED PIZZA EACH 300-600G,01-12-2021
69,5,5,211501,Home-Produced Cheddar per kg,01-12-2021
70,0,0,212601,Canned Tomatoes 400g,01-12-2021
71,0,0,210204,Dry Spaghetti/Pasta 500g,01-12-2021
72,2,3,212939,CHILLED PIZZA EACH 300-600G,01-01-2022
73,5,5,211501,Home-Produced Cheddar per kg,01-01-2022
74,0,0,212601,Canned Tomatoes 400g,01-01-2022
75,1,1,212918,Frozen Ready Meal,01-01-2022
76,1,2,212405,Frozen Chips 900G-1.5KG',01-01-2022
77,0,0,210204,Dry Spaghetti/Pasta 500g,01-01-2022
78,1,2,212405,Frozen Chips 900G-1.5KG',01-02-2022
79,0,0,212601,Canned Tomatoes 400g,01-02-2022
80,0,0,210204,Dry Spaghetti/Pasta 500g,01-02-2022
81,5,5,211501,Home-Produced Cheddar per kg,01-02-2022
82,1,1,212918,Frozen Ready Meal,01-02-2022
83,2,3,212939,CHILLED PIZZA EACH 300-600G,01-02-2022
84,1,1,212918,Frozen Ready Meal,01-03-2022
85,0,0,210204,Dry Spaghetti/Pasta 500g,01-03-2022
86,0,0,212601,Canned Tomatoes 400g,01-03-2022
87,5,5,211501,Home-Produced Cheddar per kg,01-03-2022
88,2,3,212939,CHILLED PIZZA EACH 300-600G,01-03-2022
89,1,2,212405,Frozen Chips 900G-1.5KG',01-03-2022
90,1,2,212405,Frozen Chips 900G-1.5KG',01-04-2022
91,5,6,211501,Home-Produced Cheddar per kg,01-04-2022
92,0,0,212601,Canned Tomatoes 400g,01-04-2022
93,1,1,212918,Frozen Ready Meal,01-04-2022
94,0,0,210204,Dry Spaghetti/Pasta 500g,01-04-2022
95,3,3,212939,CHILLED PIZZA EACH 300-600G,01-04-2022
96,1,1,212918,Frozen Ready Meal,01-05-2022
97,0,0,212601,Canned Tomatoes 400g,01-05-2022
98,0,0,210204,Dry Spaghetti/Pasta 500g,01-05-2022
99,2,3,212939,CHILLED PIZZA EACH 300-600G,01-05-2022
100,1,2,212405,Frozen Chips 900G-1.5KG',01-05-2022
101,5,6,211501,Home-Produced Cheddar per kg,01-05-2022
102,5,7,211501,Home-Produced Cheddar per kg,01-06-2022
103,0,0,210204,Dry Spaghetti/Pasta 500g,01-06-2022
104,0,0,212601,Canned Tomatoes 400g,01-06-2022
105,2,3,212939,CHILLED PIZZA EACH 300-600G,01-06-2022
106,1,1,212918,Frozen Ready Meal,01-06-2022
107,1,2,212405,Frozen Chips 900G-1.5KG',01-06-2022
108,0,0,210204,Dry Spaghetti/Pasta 500g,01-07-2022
109,3,3,212939,CHILLED PIZZA EACH 300-600G,01-07-2022
110,0,0,212601,Canned Tomatoes 400g,01-07-2022
111,1,2,212405,Frozen Chips 900G-1.5KG',01-07-2022
112,1,1,212918,Frozen Ready Meal,01-07-2022
113,6,7,211501,Home-Produced Cheddar per kg,01-07-2022
114,6,7,211501,Home-Produced Cheddar per kg,01-08-2022
115,3,3,212939,CHILLED PIZZA EACH 300-600G,01-08-2022
116,1,2,212405,Frozen Chips 900G-1.5KG',01-08-2022
117,1,1,212918,Frozen Ready Meal,01-08-2022
118,0,0,212601,Canned Tomatoes 400g,01-08-2022
119,0,0,210204,Dry Spaghetti/Pasta 500g,01-08-2022
120,1,2,212405,Frozen Chips 900G-1.5KG',01-09-2022
121,0,1,210204,Dry Spaghetti/Pasta 500g,01-09-2022
122,6,7,211501,Home-Produced Cheddar per kg,01-09-2022
123,0,0,212601,Canned Tomatoes 400g,01-09-2022
124,1,1,212918,Frozen Ready Meal,01-09-2022
125,3,4,212939,CHILLED PIZZA EACH 300-600G,01-09-2022
126,3,3,212939,CHILLED PIZZA EACH 300-600G,01-10-2022
127,0,0,210204,Dry Spaghetti/Pasta 500g,01-10-2022
128,1,1,212918,Frozen Ready Meal,01-10-2022
129,1,2,212405,Frozen Chips 900G-1.5KG',01-10-2022
130,7,7,211501,Home-Produced Cheddar per kg,01-10-2022
131,0,0,212601,Canned Tomatoes 400g,01-10-2022
132,7,8,211501,Home-Produced Cheddar per kg,01-11-2022
133,3,3,212939,CHILLED PIZZA EACH 300-600G,01-11-2022
134,0,0,212601,Canned Tomatoes 400g,01-11-2022
135,1,1,212918,Frozen Ready Meal,01-11-2022
136,0,0,210204,Dry Spaghetti/Pasta 500g,01-11-2022
137,1,2,212405,Frozen Chips 900G-1.5KG',01-11-2022
