"By administrative divisions(eup, myeon, dong)",2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"By administrative divisions(eup, myeon, dong)",Total household_Households (household),Total household_Household members_Total (In person),Total household_Household members_Male (In person),Total household_Household members_Female (In person),General housing_Households (household),General housing_Household members_Total (In person),General housing_Household members_Male (In person),General housing_Household members_Female (In person),Group households_Households of 6 persons or more who have no blood ties_Households (household),Group households_Households of 6 persons or more who have no blood ties_Household members_Total (In person),Group households_Households of 6 persons or more who have no blood ties_Household members_Male (In person),Group households_Households of 6 persons or more who have no blood ties_Household members_Female (In person),Group households_Institutional households_Households (household),Group households_Institutional households_Household members_Total (In person),Group households_Institutional households_Household members_Male (In person),Group households_Institutional households_Household members_Female (In person),Foreigner households_Households (household),Foreigner households_Household members_Total (In person),Foreigner households_Household members_Male (In person),Foreigner households_Household members_Female (In person)
Whole country,22022753,51738071,25850044,25888027,21448463,49063531,24270009,24793522,6678,54508,28896,25612,10654,877355,388297,489058,556958,1095414,649107,446307
Total for eups,2161590,5183834,2658474,2525360,2099836,4841016,2448186,2392830,704,5609,3174,2435,1718,131955,59322,72633,59332,127731,87861,39870
Total for myeons,2087203,4534456,2352247,2182209,2025982,4134020,2093490,2040530,1114,8934,4714,4220,2916,163896,78967,84929,57191,141714,110298,31416
Total for dongs,17773960,42019781,20839323,21180458,17322645,40088495,19728333,20360162,4860,39965,21008,18957,6020,581504,250008,331496,440435,825969,450948,375021
Seoul,4191171,9472127,4584251,4887876,4046799,9009126,4334563,4674563,1611,14121,7009,7112,843,85502,34535,50967,141918,253225,123670,129555
Busan,1447194,3324335,1624745,1699590,1431365,3197368,1553400,1643968,303,2515,1498,1017,496,62373,25138,37235,15030,27464,16996,10468
Daegu,1013488,2387911,1177420,1210491,1000931,2301255,1127448,1173807,247,1994,866,1128,370,36733,14711,22022,11940,21372,12648,8724
Incheon,1216719,2957044,1482202,1474842,1183610,2813245,1395888,1417357,379,3046,1705,1341,533,35061,14083,20978,32197,68216,39926,28290
Gwangju,625511,1475262,732088,743174,615693,1409089,694784,714305,122,972,488,484,241,28525,10800,17725,9455,18078,10803,7275
Daejeon,648593,1479740,740481,739259,640085,1412576,702284,710292,255,2172,1086,1086,281,35941,17264,18677,7972,12251,6444,5807
Ulsan,460289,1120753,578207,542546,451432,1072873,547106,525767,92,783,569,214,153,18197,9523,8674,8612,16267,10619,5648
Sejong-si,147347,366227,183616,182611,145295,353038,175157,177881,40,333,180,153,56,5609,2922,2687,1956,3655,2395,1260
Gyeonggi-do,5492783,13652529,6898723,6753806,5290662,12872435,6418639,6453796,1619,12797,7013,5784,2799,177684,77925,99759,197703,411371,249331,162040
Gangwon-do,682635,1521890,767067,754823,674728,1452031,725800,726231,208,1603,714,889,457,34569,15288,19281,7242,12637,7990,4647
Chungcheongbuk-do,713434,1624764,828073,796691,695611,1524574,768142,756432,233,1869,836,1033,574,41081,18983,22098,17016,35408,23129,12279
Chungcheongnam-do,947235,2175960,1116818,1059142,915634,2020843,1023838,997005,402,3163,1742,1421,784,57493,27643,29850,30415,62925,40068,22857
Jeollabuk-do,785218,1787053,891295,895758,772471,1692259,837888,854371,191,1468,714,754,543,49472,21971,27501,12013,21760,14020,7740
Jeollanam-do,788992,1778124,897120,881004,777358,1681752,839235,842517,286,2212,1269,943,666,48659,21941,26718,10682,22389,16759,5630
Gyeongsangbuk-do,1178040,2635314,1332376,1302938,1156645,2477239,1239470,1237769,329,2566,1360,1206,890,79505,37400,42105,20176,41351,28055,13296
Gyeongsangnam-do,1405646,3305931,1676753,1629178,1378982,3136673,1569359,1567314,280,2255,1415,840,818,70171,33757,36414,25566,53144,37455,15689
Jeju,278458,673107,338809,334298,271162,637155,317008,320147,81,639,432,207,150,10780,4413,6367,7065,13901,8799,5102
