Country Code,Name,Year,Labour_Force,Fertility_Rate,Continent
AFG,Afghanistan,1990,15.18000031,7.466,Asia
AFG,Afghanistan,1995,15.22099972,7.606,Asia
AFG,Afghanistan,2000,14.79500008,7.485,Asia
AFG,Afghanistan,2005,15.64400005,6.875,Asia
AFG,Afghanistan,2010,15.11100006,5.977,Asia
AFG,Afghanistan,2015,18.74600029,4.976,Asia
AFG,Afghanistan,2020,16.18899918,4.176,Asia
AGO,Angola,1990,75.40799713,7.272,Africa
AGO,Angola,1995,75.41600037,6.918,Africa
AGO,Angola,2000,75.53900146,6.639,Africa
AGO,Angola,2005,75.64099884,6.461,Africa
AGO,Angola,2010,75.60500336,6.194,Africa
AGO,Angola,2015,74.86399841,5.774,Africa
AGO,Angola,2020,73.61799622,5.371,Africa
ALB,Albania,1990,51.36399841,2.978,Europe
ALB,Albania,1995,52.57600021,2.591,Europe
ALB,Albania,2000,49.7820015,2.157,Europe
ALB,Albania,2005,47.06700134,1.755,Europe
ALB,Albania,2010,46.72700119,1.66,Europe
ALB,Albania,2015,46.89799881,1.677,Europe
ALB,Albania,2020,49.7859993,1.58,Europe
ARE,United Arab Emirates,1990,29.08300018,4.454,Asia
ARE,United Arab Emirates,1995,31.27899933,3.418,Asia
ARE,United Arab Emirates,2000,34.24399948,2.644,Asia
ARE,United Arab Emirates,2005,37.17599869,2.161,Asia
ARE,United Arab Emirates,2010,41.97600174,1.819,Asia
ARE,United Arab Emirates,2015,49.0719986,1.541,Asia
ARE,United Arab Emirates,2020,45.70299911,1.369,Asia
ARG,Argentina,1990,45.04100037,2.997,South America
ARG,Argentina,1995,48.9659996,2.773,South America
ARG,Argentina,2000,50.50899887,2.542,South America
ARG,Argentina,2005,49.27999878,2.416,South America
ARG,Argentina,2010,47.875,2.346,South America
ARG,Argentina,2015,47.67900085,2.301,South America
ARG,Argentina,2020,46.64199829,2.233,South America
ARM,Armenia,1990,44.83300018,2.544,Asia
ARM,Armenia,1995,45.0530014,2.056,Asia
ARM,Armenia,2000,45.16899872,1.648,Asia
ARM,Armenia,2005,45.13000107,1.675,Asia
ARM,Armenia,2010,46.93399811,1.722,Asia
ARM,Armenia,2015,48.77799988,1.738,Asia
ARM,Armenia,2020,41.96099854,1.76,Asia
AUS,Australia,1990,52.2179985,1.902,Oceania
AUS,Australia,1995,53.57600021,1.822,Oceania
AUS,Australia,2000,54.4659996,1.756,Oceania
AUS,Australia,2005,56.92699814,1.807,Oceania
