country,Crude_Marriage_Rates(2019),Fertility_Rates(2019)
Fiji,9.8,2.8
Uzbekistan,9.3,2.8
Tajikistan,9.3,3.6
Kyrgyzstan,7.8,3.3
China,7.6,1.7
Kazakhstan,7.5,2.9
Sri Lanka,7.5,2.2
Indonesia,7.0,2.3
Viet Nam,6.9,2.1
Mongolia,6.9,2.9
Malaysia,6.4,2
Azerbaijan,6.3,1.8
Singapore,6.3,1.1
Georgia,6.2,2.1
Brunei Darussalam,6.0,1.8
"Hong Kong, China",5.9,1.1
India,5.8,2.2
"Macau, China",5.5,1.2
Armenia,5.0,1.8
Japan,4.8,1.4
Australia,4.5,1.7
Korea,4.2,0.9
Thailand,4.1,1.5
New Zealand,3.3,1.7
