Country Name,Population(2020),Fertility(2020),Labour_Force_Participation(2020)
Afghanistan,38928341,4.176,16.18899918
Angola,32866268,5.371,73.61799622
Albania,2837849,1.58,49.7859993
United Arab Emirates,9890400,1.369,45.70299911
Argentina,45376763,2.233,46.64199829
Armenia,2963234,1.76,41.96099854
Australia,25693267,1.581,60.17300034
Austria,8916864,1.44,55.62099838
Azerbaijan,10093121,1.7,59.1609993
Burundi,11890781,5.237,79.14299774
Belgium,11544241,1.55,49.33300018
Benin,12123198,4.7,69.29599762
Burkina Faso,20903278,5.029,57.26699829
Bangladesh,164689383,1.987,34.54499817
Bulgaria,6934015,1.56,49.18299866
Bahrain,1701583,1.942,42.05500031
"Bahamas, The",393248,1.733,63.23199844
Bosnia and Herzegovina,3280815,1.243,32.66600037
Belarus,9379952,1.382,57.72800064
Belize,397621,2.246,45.85900116
Bolivia,11673029,2.651,54.71900177
Brazil,212559409,1.706,47.70999908
Barbados,287371,1.628,55.56200027
Brunei Darussalam,437483,1.796,54.35699844
Bhutan,771612,1.931,50.90200043
Botswana,2351625,2.796,56.42300034
Central African Republic,4829764,4.568,62.91600037
Canada,38037204,1.4,59.51499939
Switzerland,8636561,1.46,62.50400162
Channel Islands,173859,1.512,51.77600098
Chile,19116209,1.611,44.57300186
China,1411100000,1.7,61.81800079
Cote d'Ivoire,26378275,4.536,45.90100098
Cameroon,26545864,4.443,70.09799957
"Congo, Dem. Rep.",89561404,5.718,60.86999893
"Congo, Rep.",5518092,4.321,64.16200256
Colombia,50882884,1.771,50.26699829
Comoros,869595,4.073,31.91399956
Cabo Verde,555988,2.213,45.35499954
Costa Rica,5094114,1.721,46.50099945
Cuba,11326616,1.59,39.71099854
Cyprus,1207361,1.313,56.41400146
Czechia,10697858,1.71,51.82300186
Germany,83160871,1.53,56.83800125
Djibouti,988002,2.627,17.1420002
Denmark,5831404,1.67,57.7519989
Dominican Republic,10847904,2.299,47.34899902
Algeria,43851043,2.942,15.44499969
Ecuador,17643060,2.38,48.29299927
"Egypt, Arab Rep.",102334403,3.236,15.42300034
Spain,47363419,1.23,51.61299896
Estonia,1329479,1.58,57.55899811
Ethiopia,114963583,4.049,71.02899933
Finland,5529543,1.37,55.25
Fiji,896444,2.729,37.95700073
France,67379908,1.83,50.62200165
Gabon,2225728,3.869,39.00099945
United Kingdom,67081000,1.56,58.60300064
Georgia,3722716,2.046,50.73300171
Ghana,31072945,3.765,64.65699768
Guinea,13132792,4.552,61.48699951
"Gambia, The",2416664,5.087,48.11500168
Guinea-Bissau,1967998,4.331,63.6230011
Equatorial Guinea,1402985,4.346,49.41400146
Greece,10700556,1.34,43.44100189
Guatemala,16858333,2.777,36.27399826
Guam,168783,2.275,53.54299927
Guyana,786559,2.418,39.68899918
"Hong Kong SAR, China",7481000,0.868,54.1629982
Honduras,9904608,2.394,41.34000015
Croatia,4047680,1.48,44.70299911
Haiti,11402533,2.842,60.17300034
Hungary,9750149,1.56,48.54499817
Indonesia,273523621,2.266,53.17599869
India,1380004385,2.184,18.60300064
Ireland,4985674,1.63,55.08800125
"Iran, Islamic Rep.",83992953,2.142,13.83500004
Iraq,40222503,3.537,11.06599998
Iceland,366463,1.72,68.05699921
Israel,9215100,2.9,58.19599915
Italy,59449527,1.24,39.84000015
Jamaica,2961161,1.95,54.93000031
Jordan,10203140,2.639,13.33199978
Japan,126261000,1.34,53.18199921
Kazakhstan,18755666,3.13,63.6230011
Kenya,53771300,3.365,70.84500122
Kyrgyz Republic,6579900,3,41.56399918
Cambodia,16718971,2.453,73.80599976
"Korea, Rep.",51836239,0.837,53.0719986
Kuwait,4270563,2.068,45.96300125
Lebanon,6825442,2.06,20.62400055
Liberia,5057677,4.183,68.78199768
Libya,6871287,2.175,33.79100037
St. Lucia,183629,1.411,62.76900101
Sri Lanka,21919000,2.174,30.77799988
Lesotho,2142252,3.07,55.55400085
Lithuania,2794885,1.48,57.39799881
Luxembourg,630419,1.37,56.99499893
Latvia,1900449,1.55,56.0320015
"Macao SAR, China",649342,1.244,65.83899689
Morocco,36910558,2.353,21.74699974
Moldova,2620495,1.278,36.10699844
Madagascar,27691019,3.976,80.91000366
Maldives,540542,1.815,33.85200119
Mexico,128932753,2.079,40.80400085
North Macedonia,2072531,1.3,41.81700134
Mali,20250834,5.693,57.61500168
Malta,515332,1.13,53.22299957
Myanmar,54409794,2.121,43.06200027
Montenegro,621306,1.75,46.41400146
Mongolia,3278292,2.834,51.52199936
Mozambique,31255435,4.713,77.64299774
Mauritania,4649660,4.449,27.41600037
Mauritius,1265740,1.44,43.13700104
Malawi,19129955,4.055,70.80999756
Malaysia,32365998,1.965,51.47399902
Namibia,2540916,3.293,54.31800079
New Caledonia,271960,1.923,57.23799896
Niger,24206636,6.735,61.73799896
Nigeria,206139587,5.248,47.5929985
Nicaragua,6624554,2.349,46.43000031
Netherlands,17441500,1.55,59.87400055
Norway,5379475,1.48,62.04100037
Nepal,29136808,1.845,75.69799805
New Zealand,5090200,1.61,65.25099945
Oman,5106622,2.783,27.68000031
Pakistan,220892331,3.394,20.60899925
Panama,4314768,2.415,46.7140007
Peru,32971846,2.212,56.91999817
Philippines,109581085,2.49,42.61999893
Papua New Guinea,8947027,3.477,46.42499924
Poland,37899070,1.38,47.86700058
Puerto Rico,3281538,0.9,30.5359993
"Korea, Dem. People's Rep.",25778815,1.887,77.50099945
Portugal,10297081,1.4,53.60300064
Paraguay,7132530,2.383,56.93000031
West Bank and Gaza,4803269,3.489,16.15800095
French Polynesia,280904,1.913,47.09600067
Qatar,2881060,1.827,57.34700012
Romania,19257520,1.6,45.38299942
Russian Federation,144073139,1.505,55.13499832
Rwanda,12952209,3.926,82.29100037
Saudi Arabia,34813867,2.238,31.95700073
Sudan,43849269,4.289,28.22500038
Senegal,16743930,4.491,33.25999832
Singapore,5685807,1.1,59.92599869
Solomon Islands,686878,4.309,83.0510025
Sierra Leone,7976985,4.077,56.21099854
El Salvador,6486201,2.002,42.44599915
Somalia,15893219,5.885,20.83300018
Serbia,6899126,1.48,46.48300171
South Sudan,11193729,4.543,69.22799683
Sao Tome and Principe,219161,4.214,36.77700043
Suriname,586634,2.371,42.66699982
Slovak Republic,5458827,1.57,51.94100189
Slovenia,2102419,1.6,53.2179985
Sweden,10353442,1.66,60.62799835
Eswatini,1160164,2.919,44.88399887
Syrian Arab Republic,17500657,2.734,15.43000031
Chad,16425859,5.553,46.44300079
Togo,8278737,4.199,55.5019989
Thailand,69799978,1.501,59.20500183
Tajikistan,9537642,3.52,30.39100075
Turkmenistan,6031187,2.701,36.83599854
Timor-Leste,1318442,3.853,61.08300018
Tonga,105697,3.481,37.4659996
Trinidad and Tobago,1399491,1.699,46.31100082
Tunisia,11818618,2.151,25.50799942
Turkiye,84339067,2.039,30.99200058
Tanzania,59734213,4.773,79.36599731
Uganda,45741000,4.703,63.08300018
Ukraine,44132049,1.217,48.15200043
Uruguay,3473727,1.952,54.10100174
United States,331501080,1.6375,55.38999939
Uzbekistan,34232050,2.9,44.83800125
St. Vincent and the Grenadines,110947,1.854,52.58800125
"Venezuela, RB",28435943,2.23,34.4280014
Virgin Islands (U.S.),106290,2.03,41.38399887
Vietnam,97338583,2.046,69.66400146
Vanuatu,307150,3.707,59.5530014
Samoa,198410,3.785,30.77499962
"Yemen, Rep.",29825968,3.614,6.080999851
South Africa,59308690,2.358,44.04399872
Zambia,18383956,4.496,69.24099731
Zimbabwe,14862927,3.46,78.98000336
