p25,p_median,item_id,itemName,dateStata
1,1.6,212918,"FRZN READY-COOKD MEAL SERVES 1",01-01-2021
2,2.5,213005,"HOT CHOCOLATE DRINK INSTANT",01-01-2021
1,1.5,212930,"MAYONNAISE 390-500G/420-540MLS",01-01-2021
2.54,3.4,211408,"OLIVE OIL - 500ML - 1 LITRE",01-01-2021
1.5,1.79,212405,"FROZEN CHIPS 900G-1.5KG'",01-01-2021
2,3.5,212939,"CHILLED PIZZA EACH 300-600G",01-01-2021
.995,1.2,520209,"TOOTHPASTE",01-01-2021
1.25,1.3,211407,"Margarine 500g",01-01-2021
.99,1.05,210111,"WHITE SLICED LOAF BRANDED 750G",01-01-2021
1.29,1.6,210212,"Basmati Rice 500g-1KG",01-01-2021
.85,.9,212006,"FRUIT JUICE NOT ORANGE 1L",01-01-2021
2,2.5,210213,"Breakfast Cereal",01-01-2021
1.09,1.1,211709,"SHOP MILK-WHOLE MILK-4PT/2LTR'",01-01-2021
2.65,2.75,213003,"COFFEE-INSTANT 90 -100G JAR",01-01-2021
1.1,2,211901,"TEA BAGS PKT OF 80 (230G-250G)",01-01-2021
1.1,1.1,210102,"Large White Loaf Unsliced 800g",01-01-2021
1.05,1.4,211714,"NON-DAIRY MILK DRINK 900ML-1LT",01-01-2021
.5,.6,211814,"YOGHURT-SMALL INDIVIDUAL",01-01-2021
.53,.55,210204,"Dry Spaghetti/Pasta 500g",01-01-2021
.79,.85,211207,"CANNED FISH, TUNA, 130G-200G",01-01-2021
15,17.65,211510,"Parmesan Cheese per kg'",01-01-2021
.7,.75,212608,"CANNED SWEETCORN 198-340G",01-01-2021
.85,.85,212402,"POTATO CRISPS 25G-50G",01-01-2021
.4,.65,212008,"LEMONADE-2 LITRE BOTTLE",01-01-2021
.45,.95,212910,"Canned Soup 400g",01-01-2021
.69,.75,210106,"SIX BREAD ROLLS-WHITE/BROWN",01-01-2021
.95,1.1,210113,"WHOLEMEAL SLICED LOAF BRANDED",01-01-2021
1.7,2.2,211603,"Large Eggs per dozen",01-01-2021
1.39,2.25,211210,"FROZEN FISH FINGERS 8-12 PK",01-01-2021
7.5,9.165,211511,"SOFT CONTINENTAL CHEESE - KG",01-01-2021
.3,.85,212603,"Baked Beans 400g",01-01-2021
5,6.82,211501,"CHEDDAR-HOME PRODUCED PER KG",01-01-2021
.8,.8,211710,"Semi-skimmed Milk 2 pints'",01-01-2021
.25,.415,212021,"Bottle still water",01-01-2021
1.4,2,211409,"Peanut Butter 225-350g",01-01-2021
1,1.65,212225,"CHOCOLATE LARGE BAR 100-200G",01-01-2021
1.65,1.7,211306,"250g Butter'",01-01-2021
.35,.45,212601,"Canned Tomatoes 400g",01-01-2021
1.7,2,212933,"ICE CREAM 450ML-1L",01-01-2021
1,1.5,212918,"FRZN READY-COOKD MEAL SERVES 1",01-02-2021
1.2,1.4,211714,"NON-DAIRY MILK DRINK 900ML-1LT",01-02-2021
7.5,9.1,211511,"SOFT CONTINENTAL CHEESE - KG",01-02-2021
1.79,2.2,211603,"Large Eggs per dozen",01-02-2021
5,5.53,211501,"CHEDDAR-HOME PRODUCED PER KG",01-02-2021
.85,.9,212006,"FRUIT JUICE NOT ORANGE 1L",01-02-2021
.45,.95,212910,"Canned Soup 400g",01-02-2021
1.5,2,211409,"Peanut Butter 225-350g",01-02-2021
2,3.5,212939,"CHILLED PIZZA EACH 300-600G",01-02-2021
15,17.65,211510,"Parmesan Cheese per kg'",01-02-2021
2,2.65,213003,"COFFEE-INSTANT 90 -100G JAR",01-02-2021
1.09,1.09,211709,"SHOP MILK-WHOLE MILK-4PT/2LTR'",01-02-2021
1,1.75,212930,"MAYONNAISE 390-500G/420-540MLS",01-02-2021
.55,.6,211814,"YOGHURT-SMALL INDIVIDUAL",01-02-2021
1.5,2.2,213005,"HOT CHOCOLATE DRINK INSTANT",01-02-2021
.35,.45,212601,"Canned Tomatoes 400g",01-02-2021
1.5,2.29,212405,"FROZEN CHIPS 900G-1.5KG'",01-02-2021
.53,.55,210204,"Dry Spaghetti/Pasta 500g",01-02-2021
1.65,1.75,211306,"250g Butter'",01-02-2021
1,1.6,212225,"CHOCOLATE LARGE BAR 100-200G",01-02-2021
2.55,3.45,211408,"OLIVE OIL - 500ML - 1 LITRE",01-02-2021
1.29,1.6,210212,"Basmati Rice 500g-1KG",01-02-2021
.4,.65,212008,"LEMONADE-2 LITRE BOTTLE",01-02-2021
