p25,p_median,item_id,itemName,dateStata
5,6.82,211501,"Home-Produced Cheddar per kg",01-01-2021
.35,.45,212601,"Canned Tomatoes 400g",01-01-2021
2,3.5,212939,"CHILLED PIZZA EACH 300-600G",01-01-2021
1.5,1.79,212405,"Frozen Chips 900G-1.5KG'",01-01-2021
.53,.55,210204,"Dry Spaghetti/Pasta 500g",01-01-2021
1,1.6,212918,"Frozen Ready Meal",01-01-2021
1,1.5,212918,"Frozen Ready Meal",01-02-2021
.35,.45,212601,"Canned Tomatoes 400g",01-02-2021
5,5.53,211501,"Home-Produced Cheddar per kg",01-02-2021
1.5,2.29,212405,"Frozen Chips 900G-1.5KG'",01-02-2021
.53,.55,210204,"Dry Spaghetti/Pasta 500g",01-02-2021
2,3.5,212939,"CHILLED PIZZA EACH 300-600G",01-02-2021
.39,.45,212601,"Canned Tomatoes 400g",01-03-2021
.53,.58,210204,"Dry Spaghetti/Pasta 500g",01-03-2021
1,1.675,212918,"Frozen Ready Meal",01-03-2021
5,6.29,211501,"Home-Produced Cheddar per kg",01-03-2021
1.5,2,212405,"Frozen Chips 900G-1.5KG'",01-03-2021
3,3.5,212939,"CHILLED PIZZA EACH 300-600G",01-03-2021
1.5,2.29,212405,"Frozen Chips 900G-1.5KG'",01-04-2021
1,1.6,212918,"Frozen Ready Meal",01-04-2021
5,6.82,211501,"Home-Produced Cheddar per kg",01-04-2021
2,3.5,212939,"CHILLED PIZZA EACH 300-600G",01-04-2021
.39,.45,212601,"Canned Tomatoes 400g",01-04-2021
.53,.58,210204,"Dry Spaghetti/Pasta 500g",01-04-2021
.53,.65,210204,"Dry Spaghetti/Pasta 500g",01-05-2021
5,6.25,211501,"Home-Produced Cheddar per kg",01-05-2021
1.2,1.75,212918,"Frozen Ready Meal",01-05-2021
1.5,2,212405,"Frozen Chips 900G-1.5KG'",01-05-2021
2,3,212939,"CHILLED PIZZA EACH 300-600G",01-05-2021
.4,.5,212601,"Canned Tomatoes 400g",01-05-2021
2,3.29,212939,"CHILLED PIZZA EACH 300-600G",01-06-2021
1.2,1.6,212918,"Frozen Ready Meal",01-06-2021
.4,.45,212601,"Canned Tomatoes 400g",01-06-2021
5,5.71,211501,"Home-Produced Cheddar per kg",01-06-2021
1.35,2,212405,"Frozen Chips 900G-1.5KG'",01-06-2021
.54,.65,210204,"Dry Spaghetti/Pasta 500g",01-06-2021
.55,.615,210204,"Dry Spaghetti/Pasta 500g",01-07-2021
5,5.71,211501,"Home-Produced Cheddar per kg",01-07-2021
.4,.45,212601,"Canned Tomatoes 400g",01-07-2021
1.5,2,212405,"Frozen Chips 900G-1.5KG'",01-07-2021
1.2,1.6,212918,"Frozen Ready Meal",01-07-2021
2.94,3.29,212939,"CHILLED PIZZA EACH 300-600G",01-07-2021
1.5,2.25,212405,"Frozen Chips 900G-1.5KG'",01-08-2021
2,3.37,212939,"CHILLED PIZZA EACH 300-600G",01-08-2021
5,5.71,211501,"Home-Produced Cheddar per kg",01-08-2021
1.2,1.69,212918,"Frozen Ready Meal",01-08-2021
.55,.6,210204,"Dry Spaghetti/Pasta 500g",01-08-2021
.4,.45,212601,"Canned Tomatoes 400g",01-08-2021
5,5.63,211501,"Home-Produced Cheddar per kg",01-09-2021
2.745,3.49,212939,"CHILLED PIZZA EACH 300-600G",01-09-2021
1.58,2,212405,"Frozen Chips 900G-1.5KG'",01-09-2021
1.225,1.6,212918,"Frozen Ready Meal",01-09-2021
.4,.45,212601,"Canned Tomatoes 400g",01-09-2021
.55,.6,210204,"Dry Spaghetti/Pasta 500g",01-09-2021
1.19,1.645,212918,"Frozen Ready Meal",01-10-2021
.4,.45,212601,"Canned Tomatoes 400g",01-10-2021
.55,.64,210204,"Dry Spaghetti/Pasta 500g",01-10-2021
2.6,3.29,212939,"CHILLED PIZZA EACH 300-600G",01-10-2021
1.58,2,212405,"Frozen Chips 900G-1.5KG'",01-10-2021
5,5.63,211501,"Home-Produced Cheddar per kg",01-10-2021
.6,.74,210204,"Dry Spaghetti/Pasta 500g",01-11-2021
2,3.2,212939,"CHILLED PIZZA EACH 300-600G",01-11-2021
1.6,2,212405,"Frozen Chips 900G-1.5KG'",01-11-2021
.4,.45,212601,"Canned Tomatoes 400g",01-11-2021
5,5.63,211501,"Home-Produced Cheddar per kg",01-11-2021
1.19,1.6,212918,"Frozen Ready Meal",01-11-2021
1.19,1.6,212918,"Frozen Ready Meal",01-12-2021
1.5,2.29,212405,"Frozen Chips 900G-1.5KG'",01-12-2021
2,3.5,212939,"CHILLED PIZZA EACH 300-600G",01-12-2021
5,5.595,211501,"Home-Produced Cheddar per kg",01-12-2021
.4,.45,212601,"Canned Tomatoes 400g",01-12-2021
.7,.75,210204,"Dry Spaghetti/Pasta 500g",01-12-2021
2.995,3.2,212939,"CHILLED PIZZA EACH 300-600G",01-01-2022
5,5.71,211501,"Home-Produced Cheddar per kg",01-01-2022
.45,.45,212601,"Canned Tomatoes 400g",01-01-2022
1,1.5,212918,"Frozen Ready Meal",01-01-2022
1.75,2,212405,"Frozen Chips 900G-1.5KG'",01-01-2022
.7,.75,210204,"Dry Spaghetti/Pasta 500g",01-01-2022
1.65,2,212405,"Frozen Chips 900G-1.5KG'",01-02-2022
.45,.5,212601,"Canned Tomatoes 400g",01-02-2022
.7,.9,210204,"Dry Spaghetti/Pasta 500g",01-02-2022
5,5.71,211501,"Home-Produced Cheddar per kg",01-02-2022
1,1.59,212918,"Frozen Ready Meal",01-02-2022
2.89,3.5,212939,"CHILLED PIZZA EACH 300-600G",01-02-2022
1,1.675,212918,"Frozen Ready Meal",01-03-2022
.7,.9,210204,"Dry Spaghetti/Pasta 500g",01-03-2022
.45,.5,212601,"Canned Tomatoes 400g",01-03-2022
5,5.71,211501,"Home-Produced Cheddar per kg",01-03-2022
2.25,3.2,212939,"CHILLED PIZZA EACH 300-600G",01-03-2022
1.75,2.1,212405,"Frozen Chips 900G-1.5KG'",01-03-2022
1.8,2,212405,"Frozen Chips 900G-1.5KG'",01-04-2022
5.25,6.25,211501,"Home-Produced Cheddar per kg",01-04-2022
.45,.5,212601,"Canned Tomatoes 400g",01-04-2022
1,1.75,212918,"Frozen Ready Meal",01-04-2022
.7,.75,210204,"Dry Spaghetti/Pasta 500g",01-04-2022
3.2,3.37,212939,"CHILLED PIZZA EACH 300-600G",01-04-2022
1.1,1.65,212918,"Frozen Ready Meal",01-05-2022
.45,.45,212601,"Canned Tomatoes 400g",01-05-2022
.75,.9,210204,"Dry Spaghetti/Pasta 500g",01-05-2022
2.75,3.5,212939,"CHILLED PIZZA EACH 300-600G",01-05-2022
1.85,2.425,212405,"Frozen Chips 900G-1.5KG'",01-05-2022
5.71,6.57,211501,"Home-Produced Cheddar per kg",01-05-2022
5.71,7.14,211501,"Home-Produced Cheddar per kg",01-06-2022
.8,.95,210204,"Dry Spaghetti/Pasta 500g",01-06-2022
